file,title,year,certainty
104184457,Four excellent new songs - L.C.2807(26),1800,
104184458,Five songs - L.C.2807(27),1800,
104184459,Three songs - L.C.2807(28),1800,
104184460,"Young Biechan, and Susie Pye - L.C.2807(29)",1800,
104184461,Five new songs - L.C.2807(3),1800,
104184462,Little taylor's wedding - L.C.2807(30),1800,
104184463,Four excellent new songs - L.C.2807(31),1807,
104184464,Three new songs - L.C.2807(32),1800,
104184465,Bess the gawkie - L.C.2807(4),1800,
104184466,"Wandering shepherdess, or, The betrayed damsel - L.C.2807(5)",1800,
104184467,Four songs - L.C.2807(6),1800,uncertain
104184468,Two songs - L.C.2807(7),1800,
104184469,Three excellent songs - L.C.2807(8),1800,
104184470,Four songs - L.C.2807(9),1815,
104184471,Six excellent [sic] new songs - L.C.2808(1),1800,
104184472,Five excellent new songs - L.C.2808(10),1800,
104184473,Four excellent new songs - L.C.2808(11),1800,
104184474,Five excellent new songs - L.C.2808(12),1805,
104184475,Four excellent new songs - L.C.2808(13),1800,
104184476,Four excellent new songs - L.C.2808(14),1805,
104184477,Three excellent new songs - L.C.2808(15),1800,
104184478,Five excellent new songs - L.C.2808(16),1805,
104184479,Four excellent new songs - L.C.2808(17),1800,
104184480,Four excellent new songs - L.C.2808(18),1800,
104184481,Five excel[l]ent new songs - L.C.2808(19),1800,
104184482,Four excellent new songs - L.C.2808(2),1800,
104184483,Three excelkant [sic] new songs - L.C.2808(20),1805,
104184484,Four excellent new songs - L.C.2808(21),1800,
104184485,Four excellient [sic] new songs - L.C.2808(22),1800,
104184486,Five excellent new songs - L.C.2808(23),1800,
104184487,Four excellent new songs - L.C.2808(24),1800,
104184488,Three excellent new songs - L.C.2808(25),1800,
104184489,Three excellent new songs - L.C.2808(26),1800,
104184490,Four excellent new songs - L.C.2808(27),1800,
104184491,Three excellent new songs - L.C.2808(28),1800,
104184492,Four excellent new songs - L.C.2808(29),1800,
104184493,Three excellent new songs - L.C.2808(3),1800,
104184494,Five excellent new songs - L.C.2808(30),1800,
104184495,Four excellent new songs - L.C.2808(4),1800,
104184496,Six excellent [sic] new songs - L.C.2808(5),1800,
104184497,Six excellent new songs - L.C.2808(6),1800,
104184498,Five excellent new songs - L.C.2808(7),1800,
104184499,Four excellient [sic] new songs - L.C.2808(8),1800,
104184500,Three excellent songs - L.C.2808(9),1800,uncertain
104184501,Account of the trial of Captain John Porteous - L.C.2809(1),1736,
104184502,"Life and character, of the late Reverend and learned Mr Thomas Boston - L.C.2809(10)",1778,
104184503,"Historical tragedy, of young Beateman's ghost, or The perjured maid, justly rewarded - L.C.2809(11)",1778,
104184504,"Strange and wonderful predictions of the Reverend martyr, Mr. Christopher Love - L.C.2809(13)",1786,
104184505,Christian's great interest - L.C.2809(14),1785,
104184506,Some ejaculations and dying words of the late Reverend Mr. John Willison - L.C.2809(15),1790,
104184507,Explication of Thomas Rymer's prophecies - L.C.2809(16),1793,
104184508,"Europe's warning-piece, or, Good to news Britain - L.C.2809(17)",1795,
104184509,"New and diverting dialogue, both serious and comical - L.C.2809(18)",1800,
104184510,Unpardonable sin against the Holy Ghost - L.C.2809(19),1816,
104184511,"History upon death or, The mirror of man's misery - L.C.2809(2)",1750,
104184512,Unpardonable sin against the Holy Ghost - L.C.2809(20),1818,
104184513,"Sinner's sobs, or, The way to Sion - L.C.2809(21)",1818,
104184514,Plant of renown - L.C.2809(22),1819,
104184515,Sketch of the life and transactions of Peter Brown - L.C.2809(23),1820,
104184516,Beautiful and interesting account of the shepherd of Salisbury Plain - L.C.2809(24),1820,
